TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Count,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy,0,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Efficacy Z,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility,100,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,%,Futility p-value,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,%,27,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Analysis #,1,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Completers,8949,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Count,27,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy,0,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Efficacy Z,2.168,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility,27,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,1,Futility p-value,0.919,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,%,73,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Analysis #,2,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Completers,13559,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Count,73,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy,0,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Efficacy Z,1.341,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility,73,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,2,Futility p-value,0.09,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,%,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Analysis #,Total,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Completers,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Count,100,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy,0,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Efficacy Z,—,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility,100,20260813T162120_3e171d,,
Simulation Boundaries and Incremental Boundary Crossing Probabilities,Total,Futility p-value,—,20260813T162120_3e171d,,
