TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Stopping Boundaries (Per Analysis),2,Efficacy Z,-1.447,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Futility Z,-1.125,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),2,Sample Size (n),713,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Analysis #,3,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Analysis Spacing (%) Info,100,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Cumulative α Spent,0.083,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Cumulative β Spent,0.568,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Efficacy Z,-1.286,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Futility Z,-1.286,20260822T132209_3c8bfd,,
Stopping Boundaries (Per Analysis),3,Sample Size (n),777,20260822T132209_3c8bfd,,
