TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Simulation Summary #1,Test Name,Value,Ratio of Proportions (Parallel Design),20260819T115459_be5590,,
Simulation Summary #1,Test Statistic,Parameter,Test Statistic,20260819T115459_be5590,,
Simulation Summary #1,Test Statistic,Value,Wald,20260819T115459_be5590,,
Simulation Summary #1,Test Type,Parameter,Test Type,20260819T115459_be5590,,
Simulation Summary #1,Test Type,Value,1-Sided,20260819T115459_be5590,,
Simulation Summary #2,Dropout Distribution,Parameter,Dropout Distribution,20260819T115459_be5590,,
Simulation Summary #2,Dropout Distribution,Value,Binomial,20260819T115459_be5590,,
Simulation Summary #2,Follow-up Time (Day),Parameter,Follow-up Time (Day),20260819T115459_be5590,,
Simulation Summary #2,Follow-up Time (Day),Value,0.11,20260819T115459_be5590,,
Simulation Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260819T115459_be5590,,
Simulation Summary #2,Probability of Dropout,Value,0.0485,20260819T115459_be5590,,
Simulation Summary #2,Proportion under Control (πc),Parameter,Proportion under Control (πc),20260819T115459_be5590,,
Simulation Summary #2,Proportion under Control (πc),Value,0.81111,20260819T115459_be5590,,
Simulation Summary #2,Proportion under Treatment (πt),Parameter,Proportion under Treatment (πt),20260819T115459_be5590,,
Simulation Summary #2,Proportion under Treatment (πt),Value,0.540605,20260819T115459_be5590,,
Simulation Summary #2,Ratio of Proportions (ρ = πt / πc),Parameter,Ratio of Proportions (ρ = πt / πc),20260819T115459_be5590,,
Simulation Summary #2,Ratio of Proportions (ρ = πt / πc),Value,0.6665,20260819T115459_be5590,,
Simulation Summary #2,Response Distribution,Parameter,Response Distribution,20260819T115459_be5590,,
Simulation Summary #2,Response Distribution,Value,Binomial,20260819T115459_be5590,,
Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260819T115459_be5590,,
Simulation Summary #3,Number of Simulations Run,Value,100,20260819T115459_be5590,,
Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260819T115459_be5590,,
Simulation Summary #3,Random Number Seed,Value,Fixed,20260819T115459_be5590,,
Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260819T115459_be5590,,
Simulation Summary #3,Starting Seed,Value,100,20260819T115459_be5590,,
Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260819T115459_be5590,,
Simulation Summary #3,Total Number of Simulations,Value,100,20260819T115459_be5590,,
